Indicator Code: CG1500
"Indicator Name: Road traffic accidents"
Export date: 3/16/2025 9:30:08 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: V01-V04, V06 (.1-.9), V09 (.2-.3), V10- V14 (.3-.9), V15-V19 (.4-.9), V20-V28 (.3-.9), V29- V79 (.4-.9), V80 (.3-.5), V81.1, V82 (.1, .8-.9), V83-V86 (.0-.3), V87 (.0-.9), V89 (.2-.3, .9), V99, Y85.0"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age15_19,[15-19],354.00000000,33.74642517,,17.07009637,
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age20_24,[20-24],348.00000000,26.40364188,,16.66437611,
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age15_19,[15-19],228.00000000,32.02247191,,21.42470532,
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age20_24,[20-24],259.00000000,27.03549061,,24.27537081,
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age15_19,[15-19],233.00000000,32.00549451,,21.40232045,
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age20_24,[20-24],266.00000000,28.20784730,,24.64398247,
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age15_19,[15-19],126.00000000,37.38872404,,12.48006656,
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age20_24,[20-24],89.00000000,24.72222222,,8.71385464,
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age15_19,[15-19],324.00000000,31.36495644,,15.30537048,
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age20_24,[20-24],345.00000000,27.22967640,,16.34820056,
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age15_19,[15-19],324.00000000,33.12883436,,15.23096059,
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age20_24,[20-24],347.00000000,28.02907916,,16.13675786,
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age15_19,[15-19],91.00000000,29.83606557,,8.85009973,
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age20_24,[20-24],79.00000000,24.38271605,,7.66281295,
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age15_19,[15-19],229.00000000,34.02674591,,20.94654606,
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age20_24,[20-24],247.00000000,27.87810384,,22.46735185,
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age15_19,[15-19],95.00000000,31.14754098,,9.18773640,
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age20_24,[20-24],100.00000000,28.40909091,,9.51477502,
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age15_19,[15-19],323.00000000,32.79187817,,15.20802984,
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age20_24,[20-24],346.00000000,26.33181126,,15.79276965,
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age15_19,[15-19],234.00000000,33.47639485,,21.45842064,
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age20_24,[20-24],262.00000000,27.01030928,,23.38154215,
